Source: pico-datasheet.pdf
Page: 26
----------------------------------------
Label           | Confidence | BBox (x,y,w,h)
4               | 0.63       | (3992, 1882, 6, 15)
J2              | 0.65       | (4025, 1856, 21, 16)
D               | 0.74       | (3109, 1841, 7, 8)
D               | 0.72       | (2947, 1841, 7, 8)
D               | 0.75       | (2831, 1841, 7, 8)
D               | 0.74       | (2368, 1841, 7, 8)
O               | 0.72       | (2253, 1841, 6, 8)
XOB             | 0.72       | (3076, 1810, 39, 31)
VBXD            | 0.70       | (2914, 1787, 42, 54)
XOB             | 0.73       | (2798, 1810, 39, 31)
X1OB            | 0.69       | (2335, 1810, 39, 38)
X1DB            | 0.73       | (2219, 1810, 39, 38)
I               | 0.61       | (1785, 1833, 10, 16)
IOO1IWFILI      | 0.69       | (1733, 1764, 69, 84)
I               | 0.61       | (1646, 1833, 10, 16)
1OQ1DU          | 0.67       | (1596, 1787, 37, 61)
ULLLLL          | 0.61       | (2406, 1828, 130, 11)
L               | 0.72       | (3497, 1826, 14, 14)
LIII            | 0.69       | (3261, 1795, 51, 45)
I               | 0.63       | (3605, 1825, 15, 15)
U               | 0.70       | (3568, 1825, 16, 15)
LI              | 0.64       | (3442, 1825, 33, 15)
IL              | 0.63       | (3387, 1825, 33, 15)
OO              | 0.67       | (1389, 1818, 34, 20)
I               | 0.64       | (1262, 1823, 16, 15)
UILIO           | 0.64       | (1163, 1789, 61, 54)
I               | 0.67       | (3532, 1822, 15, 18)
OVOIL           | 0.66       | (3169, 1765, 50, 75)
I               | 0.70       | (3334, 1820, 13, 20)
UIQ             | 0.70       | (1316, 1788, 34, 50)
OLOII           | 0.66       | (1435, 1789, 51, 54)
OI              | 0.64       | (1797, 1814, 20, 12)
L               | 0.60       | (3261, 1796, 14, 13)
IO              | 0.67       | (3586, 1792, 34, 18)
I               | 0.64       | (3423, 1795, 15, 15)
II              | 0.65       | (1255, 1788, 32, 20)
I               | 0.68       | (3459, 1792, 16, 18)
1Q              | 0.62       | (3094, 1764, 10, 38)
4Q              | 0.61       | (2816, 1764, 10, 38)
Q               | 0.60       | (2353, 1787, 10, 15)
Q               | 0.60       | (2237, 1787, 10, 15)
U               | 0.61       | (2478, 1770, 12, 10)
I               | 0.64       | (3659, 1765, 15, 15)
IU              | 0.62       | (3605, 1765, 33, 15)
I               | 0.64       | (3550, 1765, 15, 15)
IL              | 0.67       | (3423, 1761, 34, 19)
I               | 0.65       | (3296, 1765, 16, 15)
IO              | 0.67       | (3243, 1760, 33, 20)
1               | 0.66       | (2933, 1764, 6, 15)
O               | 0.63       | (2850, 1764, 11, 15)
O               | 0.60       | (2272, 1764, 10, 15)
L               | 0.69       | (3514, 1761, 15, 19)
I               | 0.61       | (3482, 1761, 6, 24)
II              | 0.67       | (3370, 1760, 32, 19)
U               | 0.69       | (3088, 1745, 9, 11)
U               | 0.65       | (2926, 1745, 9, 11)
L12             | 0.70       | (2810, 1717, 25, 39)
U               | 0.73       | (2371, 1745, 9, 11)
U               | 0.66       | (2255, 1745, 9, 11)
XUV             | 0.70       | (2614, 1728, 38, 26)
1               | 0.68       | (2221, 1741, 6, 15)
4               | 0.89       | (1748, 1741, 10, 15)
4               | 0.61       | (1622, 1741, 6, 15)
1               | 0.60       | (2236, 1718, 6, 15)
3               | 0.65       | (3103, 1717, 10, 16)
4               | 0.96       | (2940, 1717, 11, 16)
O2              | 0.63       | (1377, 1717, 21, 16)
21U             | 0.63       | (1269, 1717, 48, 16)
IU              | 0.76       | (1223, 1717, 26, 16)
III             | 0.64       | (3169, 1675, 34, 50)
I               | 0.61       | (3392, 1701, 6, 24)
I               | 0.65       | (3278, 1701, 16, 18)
4               | 0.77       | (3352, 1700, 12, 19)
4               | 0.80       | (3316, 1700, 12, 19)
U               | 0.75       | (3864, 1687, 15, 11)
II              | 0.64       | (3550, 1670, 33, 19)
IOIIILLI        | 0.66       | (3388, 1639, 123, 50)
L               | 0.63       | (3260, 1675, 16, 14)
II              | 0.65       | (3206, 1671, 33, 18)
II              | 0.67       | (3296, 1641, 16, 48)
O               | 0.63       | (3892, 1653, 11, 15)
4               | 0.61       | (3859, 1653, 6, 15)
4               | 0.72       | (1408, 1650, 11, 15)
3               | 0.64       | (1189, 1650, 10, 16)
Q1              | 0.70       | (3095, 1632, 9, 31)
O               | 0.62       | (1699, 1646, 10, 15)
I               | 0.65       | (3586, 1645, 16, 14)
L               | 0.66       | (3550, 1645, 16, 14)
I               | 0.64       | (3514, 1645, 15, 14)
OI              | 0.64       | (3332, 1645, 34, 20)
II              | 0.65       | (3241, 1639, 34, 20)
IO              | 0.64       | (3169, 1641, 34, 18)
41OD            | 0.79       | (3840, 1592, 29, 46)
OOU             | 0.69       | (3088, 1602, 27, 31)
O               | 0.60       | (1287, 1611, 11, 11)
1               | 0.70       | (2302, 1599, 6, 16)
33              | 0.64       | (2185, 1599, 35, 16)
B               | 0.63       | (3876, 1592, 13, 16)
L               | 0.66       | (3496, 1585, 15, 14)
IUI             | 0.65       | (3314, 1581, 52, 18)
L               | 0.66       | (3260, 1585, 15, 14)
OOU             | 0.69       | (4072, 1582, 33, 12)
I               | 0.67       | (3187, 1581, 16, 18)
I               | 0.70       | (3444, 1580, 11, 19)
3               | 0.65       | (2781, 1578, 10, 16)
3               | 0.64       | (2665, 1578, 10, 16)
133             | 0.68       | (2860, 1576, 55, 16)
4               | 0.62       | (2834, 1576, 6, 15)
D               | 0.73       | (2750, 1563, 7, 8)
O               | 0.71       | (2635, 1563, 6, 8)
B               | 0.63       | (3077, 1555, 13, 16)
O               | 0.73       | (2741, 1555, 6, 8)
D               | 0.73       | (2625, 1555, 7, 8)
O               | 0.60       | (1287, 1551, 11, 11)
IU              | 0.67       | (2729, 1532, 38, 16)
IBU             | 0.65       | (2613, 1509, 39, 39)
L               | 0.66       | (3700, 1532, 11, 15)
O               | 0.70       | (4501, 1509, 11, 13)
O               | 0.70       | (697, 1509, 10, 13)
LL              | 0.70       | (3236, 1507, 24, 15)
BO              | 0.63       | (3841, 1497, 25, 16)
4               | 0.63       | (1190, 1488, 6, 15)
Q               | 0.61       | (3128, 1486, 10, 15)
O1              | 0.68       | (3095, 1470, 9, 31)
4               | 0.62       | (2745, 1486, 6, 15)
1               | 0.60       | (2630, 1486, 5, 15)
IL              | 0.69       | (4095, 1463, 25, 15)
O               | 0.71       | (3088, 1463, 7, 8)
W               | 0.68       | (1253, 1453, 20, 16)
BI              | 0.67       | (3111, 1416, 16, 39)
2BI             | 0.64       | (3076, 1393, 25, 39)
IUO             | 0.75       | (1548, 1416, 37, 16)
LV              | 0.64       | (2614, 1346, 38, 14)
O3              | 0.64       | (3042, 1321, 35, 16)
13DOU           | 0.68       | (2105, 1231, 37, 39)
4               | 0.84       | (3729, 1231, 10, 15)
NU              | 0.67       | (3641, 1231, 38, 15)
1               | 0.65       | (2105, 1208, 6, 15)
Q               | 0.66       | (2119, 1185, 10, 15)
ILQII           | 0.67       | (2729, 1176, 86, 26)
LIU             | 0.67       | (2566, 1182, 50, 14)
IIILIL          | 0.68       | (2474, 1152, 71, 44)
I               | 0.63       | (2438, 1182, 15, 14)
O               | 0.67       | (2383, 1182, 16, 14)
II              | 0.62       | (2927, 1146, 16, 56)
LI              | 0.70       | (2691, 1152, 16, 44)
LIIIL           | 0.67       | (2818, 1148, 88, 48)
1               | 0.69       | (3807, 1164, 6, 15)
L               | 0.61       | (3945, 1162, 5, 14)
UL              | 0.70       | (3908, 1138, 12, 38)
LL              | 0.67       | (3399, 1138, 11, 38)
II              | 0.67       | (2747, 1146, 32, 20)
IO              | 0.64       | (2619, 1146, 34, 20)
O               | 0.68       | (2582, 1152, 16, 14)
UUIIIOOCCII     | 0.66       | (2329, 1116, 142, 50)
UUQ             | 0.66       | (2220, 1117, 33, 49)
I               | 0.70       | (2277, 1147, 11, 19)
1L11O141I111O11 | 0.68       | (3564, 933, 20, 223)
44              | 0.69       | (3435, 1138, 20, 15)
U               | 0.72       | (1986, 1138, 12, 15)
LIU             | 0.68       | (2856, 1121, 50, 15)
IIIL            | 0.67       | (2764, 1116, 69, 20)
III             | 0.68       | (2582, 1116, 52, 20)
OI              | 0.63       | (2673, 1116, 34, 20)
OII             | 0.65       | (2510, 1116, 51, 20)
4O              | 0.74       | (3805, 1095, 11, 39)
I               | 0.60       | (2950, 1118, 6, 23)
I               | 0.67       | (2728, 1118, 15, 18)
IL4             | 0.81       | (2150, 1115, 37, 16)
4OO1DU          | 0.71       | (1549, 1069, 38, 62)
LO              | 0.65       | (3945, 1093, 20, 14)
LLUL            | 0.70       | (3908, 1023, 12, 84)
11L4L           | 0.66       | (3435, 1022, 18, 85)
LLLL            | 0.67       | (3399, 1023, 11, 84)
DO3             | 0.63       | (2266, 1078, 42, 16)
HI              | 0.70       | (2192, 1078, 26, 16)
2               | 0.64       | (3794, 1071, 10, 16)
O               | 0.69       | (3805, 1048, 11, 16)
4               | 0.63       | (1549, 1046, 6, 15)
L               | 0.68       | (2468, 1037, 12, 15)
N               | 0.62       | (2426, 1037, 12, 15)
L               | 0.73       | (2181, 1037, 11, 15)
O11             | 0.64       | (2544, 1002, 18, 38)
L               | 0.62       | (1564, 1023, 6, 15)
4               | 0.65       | (3956, 1022, 6, 15)
LN              | 0.67       | (1811, 1021, 25, 15)
O               | 0.62       | (1761, 1021, 10, 15)
O               | 0.69       | (3806, 1002, 10, 16)
NO              | 0.61       | (2482, 990, 28, 16)
L               | 0.67       | (2181, 990, 11, 16)
L               | 0.69       | (3908, 977, 12, 14)
LLLL            | 0.67       | (3399, 907, 11, 84)
4               | 0.85       | (1639, 976, 10, 15)
L               | 0.64       | (1593, 976, 11, 15)
